time_s,estimated_soc,estimated_v1_V
0.000000,1.000000,-0.023272
1.000000,0.993112,-0.024534
2.000000,0.986846,-0.025690
3.000000,0.987955,-0.023087
4.000000,0.987168,-0.021659
5.000000,0.987323,-0.019678
6.000000,0.985688,-0.019141
7.000000,0.986632,-0.016478
8.000000,0.986988,-0.014378
9.000000,0.986776,-0.012861
10.000000,0.987098,-0.010870
11.000000,0.986563,-0.009782
12.000000,0.986228,-0.008527
13.000000,0.986059,-0.007148
14.000000,0.985166,-0.006565
15.000000,0.985826,-0.004370
16.000000,0.986619,-0.002127
17.000000,0.986353,-0.001056
18.000000,0.986673,0.000572
19.000000,0.986653,0.001813
20.000000,0.986905,0.003275
21.000000,0.986701,0.004224
22.000000,0.986444,0.005081
23.000000,0.986968,0.006693
24.000000,0.986987,0.007740
25.000000,0.987775,0.009468
26.000000,0.987761,0.010380
27.000000,0.987392,0.010947
28.000000,0.987766,0.012156
29.000000,0.987892,0.013097
30.000000,0.988036,0.014016
31.000000,0.988249,0.014976
32.000000,0.987898,0.015404
33.000000,0.987704,0.015942
34.000000,0.987512,0.016460
35.000000,0.987034,0.016759
36.000000,0.986822,0.017255
37.000000,0.986983,0.017991
38.000000,0.986860,0.018485
39.000000,0.986390,0.018720
40.000000,0.985895,0.018950
41.000000,0.986082,0.019628
42.000000,0.985876,0.020020
43.000000,0.985570,0.020322
44.000000,0.985336,0.020668
45.000000,0.984887,0.020874
46.000000,0.984960,0.021379
47.000000,0.984698,0.021681
48.000000,0.984726,0.022125
49.000000,0.984522,0.022430
50.000000,0.984527,0.022827
51.000000,0.984340,0.023112
52.000000,0.984221,0.023423
53.000000,0.984085,0.023691
54.000000,0.983923,0.023948
55.000000,0.983717,0.024174
56.000000,0.983435,0.024356
57.000000,0.983428,0.024655
58.000000,0.983049,0.024805
59.000000,0.982799,0.024976
60.000000,0.982531,0.025156
61.000000,0.982319,0.025322
62.000000,0.982013,0.025461
63.000000,0.981787,0.025630
64.000000,0.981509,0.025780
65.000000,0.981090,0.025877
66.000000,0.980831,0.026027
67.000000,0.980467,0.026126
68.000000,0.980055,0.026205
69.000000,0.979813,0.026350
70.000000,0.979600,0.026487
71.000000,0.979390,0.026608
72.000000,0.979180,0.026726
73.000000,0.978765,0.026786
74.000000,0.978398,0.026874
75.000000,0.978302,0.027024
76.000000,0.977960,0.027113
77.000000,0.977750,0.027219
78.000000,0.977442,0.027305
79.000000,0.977187,0.027405
80.000000,0.976885,0.027482
81.000000,0.976662,0.027581
82.000000,0.976412,0.027659
83.000000,0.976120,0.027729
84.000000,0.975788,0.027789
85.000000,0.975550,0.027857
86.000000,0.975210,0.027920
87.000000,0.974978,0.027992
