time_s,measured_current_A,measured_voltage_V,true_soc,true_current_A,true_voltage_V
0.000000,2.036094,4.134841,1.000000,2.000000,4.130000
1.000000,2.009200,4.140550,0.999722,2.000000,4.128461
2.000000,2.045009,4.120006,0.999444,2.000000,4.126954
3.000000,2.048811,4.132769,0.999167,2.000000,4.125478
4.000000,1.990979,4.124384,0.998889,2.000000,4.124033
5.000000,2.003956,4.126647,0.998611,2.000000,4.122617
6.000000,2.032557,4.112990,0.998333,2.000000,4.121229
7.000000,2.023675,4.127208,0.998056,2.000000,4.119868
8.000000,2.029664,4.122466,0.997778,2.000000,4.118533
9.000000,2.012939,4.117030,0.997500,2.000000,4.117225
10.000000,2.047588,4.119166,0.997222,2.000000,4.115940
11.000000,2.045556,4.110853,0.996944,2.000000,4.114680
12.000000,2.031321,4.110546,0.996667,2.000000,4.113443
13.000000,2.052545,4.109911,0.996389,2.000000,4.112228
14.000000,2.039350,4.101771,0.996111,2.000000,4.111035
15.000000,2.012814,4.114171,0.995833,2.000000,4.109863
16.000000,2.037375,4.114668,0.995556,2.000000,4.108710
17.000000,2.010822,4.104071,0.995278,2.000000,4.107578
18.000000,2.047569,4.108205,0.995000,2.000000,4.106464
19.000000,2.029001,4.104041,0.994722,2.000000,4.105369
20.000000,2.026303,4.105933,0.994444,2.000000,4.104291
21.000000,2.016381,4.100093,0.994167,2.000000,4.103231
22.000000,2.054451,4.097770,0.993889,2.000000,4.102187
23.000000,2.026909,4.106419,0.993611,2.000000,4.101159
24.000000,2.021433,4.099827,0.993333,2.000000,4.100147
25.000000,2.022957,4.109260,0.993056,2.000000,4.099149
26.000000,2.040646,4.098398,0.992778,2.000000,4.098166
27.000000,2.037309,4.092567,0.992500,2.000000,4.097197
28.000000,2.038255,4.102376,0.992222,2.000000,4.096242
29.000000,2.038616,4.098453,0.991944,2.000000,4.095299
30.000000,2.072833,4.098004,0.991667,2.000000,4.094370
31.000000,2.021872,4.099405,0.991389,2.000000,4.093452
32.000000,2.019755,4.089283,0.991111,2.000000,4.092547
33.000000,2.013725,4.091017,0.990833,2.000000,4.091653
34.000000,2.042320,4.089913,0.990556,2.000000,4.090770
35.000000,2.052579,4.083444,0.990278,2.000000,4.089898
36.000000,2.027721,4.087718,0.990000,2.000000,4.089036
37.000000,2.013197,4.094866,0.989722,2.000000,4.088184
38.000000,2.013510,4.088529,0.989444,2.000000,4.087342
39.000000,2.043012,4.079779,0.989167,2.000000,4.086509
40.000000,2.044865,4.077906,0.988889,2.000000,4.085686
41.000000,2.040863,4.093195,0.988611,2.000000,4.084871
42.000000,2.016690,4.083613,0.988333,2.000000,4.084065
43.000000,2.034643,4.080029,0.988056,2.000000,4.083266
44.000000,2.032334,4.081106,0.987778,2.000000,4.082476
45.000000,2.034374,4.074307,0.987500,2.000000,4.081694
46.000000,2.047429,4.088034,0.987222,2.000000,4.080919
47.000000,2.034472,4.078186,0.986944,2.000000,4.080151
48.000000,2.043578,4.086227,0.986667,2.000000,4.079390
49.000000,2.031352,4.078894,0.986389,2.000000,4.078636
50.000000,2.035782,4.085036,0.986111,2.000000,4.077888
51.000000,2.042626,4.078431,0.985833,2.000000,4.077147
52.000000,2.000857,4.080678,0.985556,2.000000,4.076412
53.000000,2.023607,4.079278,0.985278,2.000000,4.075683
54.000000,2.020593,4.078075,0.985000,2.000000,4.074959
55.000000,2.017222,4.075981,0.984722,2.000000,4.074241
56.000000,2.024497,4.072364,0.984444,2.000000,4.073528
57.000000,2.059899,4.082398,0.984167,2.000000,4.072820
58.000000,2.012683,4.067583,0.983889,2.000000,4.072118
59.000000,2.049366,4.071441,0.983611,2.000000,4.071420
60.000000,1.996343,4.070801,0.983333,2.000000,4.070727
61.000000,2.023302,4.072050,0.983056,2.000000,4.070038
62.000000,2.033255,4.067206,0.982778,2.000000,4.069354
63.000000,2.041724,4.070247,0.982500,2.000000,4.068674
64.000000,2.044225,4.067153,0.982222,2.000000,4.067998
65.000000,2.045867,4.059416,0.981944,2.000000,4.067326
66.000000,2.023025,4.066705,0.981667,2.000000,4.066657
67.000000,2.020753,4.060490,0.981389,2.000000,4.065993
68.000000,2.047160,4.056660,0.981111,2.000000,4.065332
69.000000,2.026174,4.065359,0.980833,2.000000,4.064674
70.000000,2.004486,4.066460,0.980556,2.000000,4.064020
71.000000,2.007334,4.066003,0.980278,2.000000,4.063369
72.000000,2.011611,4.065557,0.980000,2.000000,4.062722
73.000000,2.039943,4.052414,0.979722,2.000000,4.062077
74.000000,2.032849,4.054630,0.979444,2.000000,4.061435
75.000000,2.043810,4.070663,0.979167,2.000000,4.060796
76.000000,2.021455,4.054924,0.978889,2.000000,4.060160
77.000000,2.033171,4.062580,0.978611,2.000000,4.059526
78.000000,2.042512,4.055460,0.978333,2.000000,4.058895
79.000000,2.023813,4.058665,0.978056,2.000000,4.058266
80.000000,2.039136,4.054474,0.977778,2.000000,4.057640
81.000000,2.016761,4.059824,0.977500,2.000000,4.057016
82.000000,2.022739,4.057078,0.977222,2.000000,4.056395
83.000000,2.022365,4.053534,0.976944,2.000000,4.055775
84.000000,2.006083,4.049907,0.976667,2.000000,4.055158
85.000000,2.039739,4.055881,0.976389,2.000000,4.054542
86.000000,2.020612,4.047865,0.976111,2.000000,4.053929
87.000000,2.030250,4.055455,0.975833,2.000000,4.053317
88.000000,2.039615,4.065840,0.975556,2.000000,4.052708
89.000000,2.038931,4.058851,0.975278,2.000000,4.052100
90.000000,2.043308,4.055085,0.975000,2.000000,4.051494
91.000000,2.028030,4.050461,0.974722,2.000000,4.050889
92.000000,2.021534,4.040592,0.974444,2.000000,4.050286
93.000000,2.028406,4.043073,0.974167,2.000000,4.049685
94.000000,1.996253,4.055499,0.973889,2.000000,4.049085
95.000000,2.001058,4.044538,0.973611,2.000000,4.048487
96.000000,2.003546,4.044393,0.973333,2.000000,4.047890
97.000000,2.010055,4.046466,0.973056,2.000000,4.047294
98.000000,2.037995,4.041389,0.972778,2.000000,4.046700
99.000000,2.011890,4.039973,0.972500,2.000000,4.046106
100.000000,2.022437,4.045262,0.972222,2.000000,4.045515
101.000000,2.055985,4.040466,0.971944,2.000000,4.044924
102.000000,2.022875,4.040629,0.971667,2.000000,4.044335
103.000000,2.044750,4.039840,0.971389,2.000000,4.043746
104.000000,2.011328,4.045771,0.971111,2.000000,4.043159
105.000000,2.025891,4.041412,0.970833,2.000000,4.042573
106.000000,2.011000,4.041094,0.970556,2.000000,4.041987
107.000000,2.023219,4.044388,0.970278,2.000000,4.041403
108.000000,2.046806,4.040110,0.970000,2.000000,4.040820
109.000000,1.995454,4.038846,0.969722,2.000000,4.040237
110.000000,2.038688,4.042008,0.969444,2.000000,4.039656
111.000000,2.034755,4.042416,0.969167,2.000000,4.039075
112.000000,2.018117,4.037760,0.968889,2.000000,4.038495
113.000000,2.001079,4.038319,0.968611,2.000000,4.037916
114.000000,2.031443,4.033429,0.968333,2.000000,4.037338
115.000000,2.019410,4.032457,0.968056,2.000000,4.036760
116.000000,2.034654,4.040029,0.967778,2.000000,4.036183
117.000000,2.030437,4.037832,0.967500,2.000000,4.035607
118.000000,2.062036,4.037308,0.967222,2.000000,4.035032
119.000000,2.025213,4.035861,0.966944,2.000000,4.034457
120.000000,2.009530,4.034114,0.966667,2.000000,4.033883
121.000000,2.033586,4.036791,0.966389,2.000000,4.033309
122.000000,2.034400,4.037412,0.966111,2.000000,4.032736
123.000000,2.057184,4.036720,0.965833,2.000000,4.032164
124.000000,2.046702,4.031088,0.965556,2.000000,4.031592
125.000000,2.037137,4.037956,0.965278,2.000000,4.031021
126.000000,2.059266,4.031592,0.965000,2.000000,4.030450
127.000000,2.006225,4.033041,0.964722,2.000000,4.029880
128.000000,2.017205,4.030720,0.964444,2.000000,4.029310
129.000000,2.011468,4.029975,0.964167,2.000000,4.028740
130.000000,2.022204,4.024493,0.963889,2.000000,4.028171
131.000000,2.002466,4.031110,0.963611,2.000000,4.027603
132.000000,2.042703,4.041261,0.963333,2.000000,4.027035
133.000000,2.025556,4.024593,0.963056,2.000000,4.026467
134.000000,2.000584,4.026255,0.962778,2.000000,4.025900
135.000000,2.009688,4.023102,0.962500,2.000000,4.025333
136.000000,2.036270,4.022327,0.962222,2.000000,4.024767
137.000000,2.046763,4.031923,0.961944,2.000000,4.024201
138.000000,2.069935,4.020270,0.961667,2.000000,4.023635
139.000000,2.088277,4.020699,0.961389,2.000000,4.023069
140.000000,2.038288,4.014567,0.961111,2.000000,4.022504
141.000000,2.010209,4.018151,0.960833,2.000000,4.021940
142.000000,1.987359,4.012833,0.960556,2.000000,4.021375
143.000000,2.035354,4.023970,0.960278,2.000000,4.020811
144.000000,2.013741,4.034245,0.960000,2.000000,4.020247
145.000000,2.021693,4.017850,0.959722,2.000000,4.019683
146.000000,2.017758,4.010786,0.959444,2.000000,4.019120
147.000000,2.027184,4.023057,0.959167,2.000000,4.018557
148.000000,2.051320,4.014359,0.958889,2.000000,4.017994
149.000000,2.033141,4.023928,0.958611,2.000000,4.017431
150.000000,2.026827,4.015459,0.958333,2.000000,4.016869
151.000000,2.009287,4.013148,0.958056,2.000000,4.016307
152.000000,1.996506,4.014855,0.957778,2.000000,4.015745
153.000000,2.020274,4.018972,0.957500,2.000000,4.015183
154.000000,2.028924,4.013484,0.957222,2.000000,4.014621
155.000000,2.065359,4.011576,0.956944,2.000000,4.014060
156.000000,2.032605,4.012505,0.956667,2.000000,4.013499
157.000000,2.049655,4.006579,0.956389,2.000000,4.012938
158.000000,2.020014,4.014362,0.956111,2.000000,4.012377
159.000000,2.006301,4.002883,0.955833,2.000000,4.011816
160.000000,2.010698,4.009035,0.955556,2.000000,4.011256
161.000000,2.015495,4.014493,0.955278,2.000000,4.010696
162.000000,2.072569,4.011651,0.955000,2.000000,4.010135
163.000000,2.013572,4.012527,0.954722,2.000000,4.009575
164.000000,2.046770,4.008690,0.954444,2.000000,4.009016
165.000000,2.011941,4.014305,0.954167,2.000000,4.008456
166.000000,2.048631,4.012520,0.953889,2.000000,4.007896
167.000000,2.037699,4.009568,0.953611,2.000000,4.007337
168.000000,2.026867,4.011415,0.953333,2.000000,4.006778
169.000000,2.029185,4.009971,0.953056,2.000000,4.006218
170.000000,2.016904,4.003462,0.952778,2.000000,4.005659
171.000000,2.038921,3.998381,0.952500,2.000000,4.005100
172.000000,2.020900,4.006643,0.952222,2.000000,4.004542
173.000000,2.005488,4.006713,0.951944,2.000000,4.003983
174.000000,2.004441,4.008877,0.951667,2.000000,4.003424
175.000000,2.033452,3.998184,0.951389,2.000000,4.002866
176.000000,2.061582,3.997775,0.951111,2.000000,4.002307
177.000000,2.033200,4.004048,0.950833,2.000000,4.001749
178.000000,2.027627,4.000835,0.950556,2.000000,4.001191
179.000000,2.035717,3.991204,0.950278,2.000000,4.000632
180.000000,2.056120,4.001950,0.950000,2.000000,4.000074
181.000000,2.034388,3.990254,0.949722,2.000000,3.999516
182.000000,2.021781,3.994232,0.949444,2.000000,3.998958
183.000000,2.052126,4.005159,0.949167,2.000000,3.998401
184.000000,2.038575,4.006967,0.948889,2.000000,3.997843
185.000000,2.060715,3.991207,0.948611,2.000000,3.997285
186.000000,2.033665,3.995081,0.948333,2.000000,3.996728
187.000000,2.005511,3.996383,0.948056,2.000000,3.996170
188.000000,2.002637,4.004519,0.947778,2.000000,3.995613
189.000000,2.063019,3.992591,0.947500,2.000000,3.995055
190.000000,2.064473,3.992113,0.947222,2.000000,3.994498
191.000000,2.026410,4.001684,0.946944,2.000000,3.993940
