time_s,current_A,true_soc,v1_V,terminal_voltage_V
0.000000,2.000000,1.000000,0.000000,4.130000
1.000000,2.000000,0.999722,0.000984,4.128461
2.000000,2.000000,0.999444,0.001935,4.126954
3.000000,2.000000,0.999167,0.002855,4.125478
4.000000,2.000000,0.998889,0.003745,4.124033
5.000000,2.000000,0.998611,0.004606,4.122617
6.000000,2.000000,0.998333,0.005438,4.121229
7.000000,2.000000,0.998056,0.006243,4.119868
8.000000,2.000000,0.997778,0.007022,4.118533
9.000000,2.000000,0.997500,0.007775,4.117225
10.000000,2.000000,0.997222,0.008504,4.115940
11.000000,2.000000,0.996944,0.009209,4.114680
12.000000,2.000000,0.996667,0.009890,4.113443
13.000000,2.000000,0.996389,0.010550,4.112228
14.000000,2.000000,0.996111,0.011187,4.111035
15.000000,2.000000,0.995833,0.011804,4.109863
16.000000,2.000000,0.995556,0.012401,4.108710
17.000000,2.000000,0.995278,0.012978,4.107578
18.000000,2.000000,0.995000,0.013536,4.106464
19.000000,2.000000,0.994722,0.014075,4.105369
20.000000,2.000000,0.994444,0.014597,4.104291
21.000000,2.000000,0.994167,0.015102,4.103231
22.000000,2.000000,0.993889,0.015591,4.102187
23.000000,2.000000,0.993611,0.016063,4.101159
24.000000,2.000000,0.993333,0.016520,4.100147
25.000000,2.000000,0.993056,0.016962,4.099149
26.000000,2.000000,0.992778,0.017389,4.098166
27.000000,2.000000,0.992500,0.017803,4.097197
28.000000,2.000000,0.992222,0.018203,4.096242
29.000000,2.000000,0.991944,0.018590,4.095299
30.000000,2.000000,0.991667,0.018964,4.094370
31.000000,2.000000,0.991389,0.019325,4.093452
32.000000,2.000000,0.991111,0.019675,4.092547
33.000000,2.000000,0.990833,0.020014,4.091653
34.000000,2.000000,0.990556,0.020341,4.090770
35.000000,2.000000,0.990278,0.020658,4.089898
36.000000,2.000000,0.990000,0.020964,4.089036
37.000000,2.000000,0.989722,0.021260,4.088184
38.000000,2.000000,0.989444,0.021547,4.087342
39.000000,2.000000,0.989167,0.021824,4.086509
40.000000,2.000000,0.988889,0.022092,4.085686
41.000000,2.000000,0.988611,0.022351,4.084871
42.000000,2.000000,0.988333,0.022602,4.084065
43.000000,2.000000,0.988056,0.022845,4.083266
44.000000,2.000000,0.987778,0.023079,4.082476
45.000000,2.000000,0.987500,0.023306,4.081694
46.000000,2.000000,0.987222,0.023526,4.080919
47.000000,2.000000,0.986944,0.023738,4.080151
48.000000,2.000000,0.986667,0.023943,4.079390
49.000000,2.000000,0.986389,0.024142,4.078636
50.000000,2.000000,0.986111,0.024334,4.077888
51.000000,2.000000,0.985833,0.024519,4.077147
52.000000,2.000000,0.985556,0.024699,4.076412
53.000000,2.000000,0.985278,0.024873,4.075683
54.000000,2.000000,0.985000,0.025041,4.074959
55.000000,2.000000,0.984722,0.025204,4.074241
56.000000,2.000000,0.984444,0.025361,4.073528
57.000000,2.000000,0.984167,0.025513,4.072820
58.000000,2.000000,0.983889,0.025660,4.072118
59.000000,2.000000,0.983611,0.025802,4.071420
60.000000,2.000000,0.983333,0.025940,4.070727
61.000000,2.000000,0.983056,0.026073,4.070038
62.000000,2.000000,0.982778,0.026202,4.069354
63.000000,2.000000,0.982500,0.026326,4.068674
64.000000,2.000000,0.982222,0.026447,4.067998
65.000000,2.000000,0.981944,0.026563,4.067326
66.000000,2.000000,0.981667,0.026676,4.066657
67.000000,2.000000,0.981389,0.026785,4.065993
68.000000,2.000000,0.981111,0.026890,4.065332
69.000000,2.000000,0.980833,0.026992,4.064674
70.000000,2.000000,0.980556,0.027091,4.064020
71.000000,2.000000,0.980278,0.027186,4.063369
72.000000,2.000000,0.980000,0.027278,4.062722
73.000000,2.000000,0.979722,0.027368,4.062077
74.000000,2.000000,0.979444,0.027454,4.061435
75.000000,2.000000,0.979167,0.027537,4.060796
76.000000,2.000000,0.978889,0.027618,4.060160
77.000000,2.000000,0.978611,0.027696,4.059526
78.000000,2.000000,0.978333,0.027772,4.058895
79.000000,2.000000,0.978056,0.027845,4.058266
80.000000,2.000000,0.977778,0.027915,4.057640
81.000000,2.000000,0.977500,0.027984,4.057016
82.000000,2.000000,0.977222,0.028050,4.056395
83.000000,2.000000,0.976944,0.028114,4.055775
84.000000,2.000000,0.976667,0.028176,4.055158
85.000000,2.000000,0.976389,0.028236,4.054542
86.000000,2.000000,0.976111,0.028293,4.053929
87.000000,2.000000,0.975833,0.028349,4.053317
88.000000,2.000000,0.975556,0.028403,4.052708
89.000000,2.000000,0.975278,0.028456,4.052100
90.000000,2.000000,0.975000,0.028506,4.051494
91.000000,2.000000,0.974722,0.028555,4.050889
92.000000,2.000000,0.974444,0.028603,4.050286
93.000000,2.000000,0.974167,0.028649,4.049685
94.000000,2.000000,0.973889,0.028693,4.049085
95.000000,2.000000,0.973611,0.028736,4.048487
96.000000,2.000000,0.973333,0.028777,4.047890
97.000000,2.000000,0.973056,0.028817,4.047294
98.000000,2.000000,0.972778,0.028856,4.046700
99.000000,2.000000,0.972500,0.028894,4.046106
100.000000,2.000000,0.972222,0.028930,4.045515
101.000000,2.000000,0.971944,0.028965,4.044924
102.000000,2.000000,0.971667,0.028999,4.044335
103.000000,2.000000,0.971389,0.029032,4.043746
104.000000,2.000000,0.971111,0.029063,4.043159
105.000000,2.000000,0.970833,0.029094,4.042573
106.000000,2.000000,0.970556,0.029124,4.041987
107.000000,2.000000,0.970278,0.029153,4.041403
108.000000,2.000000,0.970000,0.029180,4.040820
109.000000,2.000000,0.969722,0.029207,4.040237
110.000000,2.000000,0.969444,0.029233,4.039656
111.000000,2.000000,0.969167,0.029258,4.039075
112.000000,2.000000,0.968889,0.029283,4.038495
113.000000,2.000000,0.968611,0.029306,4.037916
114.000000,2.000000,0.968333,0.029329,4.037338
115.000000,2.000000,0.968056,0.029351,4.036760
116.000000,2.000000,0.967778,0.029372,4.036183
117.000000,2.000000,0.967500,0.029393,4.035607
118.000000,2.000000,0.967222,0.029413,4.035032
119.000000,2.000000,0.966944,0.029432,4.034457
120.000000,2.000000,0.966667,0.029451,4.033883
121.000000,2.000000,0.966389,0.029469,4.033309
122.000000,2.000000,0.966111,0.029486,4.032736
123.000000,2.000000,0.965833,0.029503,4.032164
124.000000,2.000000,0.965556,0.029519,4.031592
125.000000,2.000000,0.965278,0.029535,4.031021
126.000000,2.000000,0.965000,0.029550,4.030450
127.000000,2.000000,0.964722,0.029565,4.029880
128.000000,2.000000,0.964444,0.029579,4.029310
129.000000,2.000000,0.964167,0.029593,4.028740
130.000000,2.000000,0.963889,0.029606,4.028171
131.000000,2.000000,0.963611,0.029619,4.027603
132.000000,2.000000,0.963333,0.029632,4.027035
133.000000,2.000000,0.963056,0.029644,4.026467
134.000000,2.000000,0.962778,0.029655,4.025900
135.000000,2.000000,0.962500,0.029667,4.025333
136.000000,2.000000,0.962222,0.029678,4.024767
137.000000,2.000000,0.961944,0.029688,4.024201
138.000000,2.000000,0.961667,0.029698,4.023635
139.000000,2.000000,0.961389,0.029708,4.023069
140.000000,2.000000,0.961111,0.029718,4.022504
141.000000,2.000000,0.960833,0.029727,4.021940
142.000000,2.000000,0.960556,0.029736,4.021375
143.000000,2.000000,0.960278,0.029745,4.020811
144.000000,2.000000,0.960000,0.029753,4.020247
145.000000,2.000000,0.959722,0.029761,4.019683
146.000000,2.000000,0.959444,0.029769,4.019120
147.000000,2.000000,0.959167,0.029777,4.018557
148.000000,2.000000,0.958889,0.029784,4.017994
149.000000,2.000000,0.958611,0.029791,4.017431
150.000000,2.000000,0.958333,0.029798,4.016869
151.000000,2.000000,0.958056,0.029804,4.016307
152.000000,2.000000,0.957778,0.029811,4.015745
153.000000,2.000000,0.957500,0.029817,4.015183
154.000000,2.000000,0.957222,0.029823,4.014621
155.000000,2.000000,0.956944,0.029829,4.014060
156.000000,2.000000,0.956667,0.029835,4.013499
157.000000,2.000000,0.956389,0.029840,4.012938
158.000000,2.000000,0.956111,0.029845,4.012377
159.000000,2.000000,0.955833,0.029850,4.011816
160.000000,2.000000,0.955556,0.029855,4.011256
161.000000,2.000000,0.955278,0.029860,4.010696
162.000000,2.000000,0.955000,0.029865,4.010135
163.000000,2.000000,0.954722,0.029869,4.009575
164.000000,2.000000,0.954444,0.029873,4.009016
165.000000,2.000000,0.954167,0.029877,4.008456
166.000000,2.000000,0.953889,0.029881,4.007896
167.000000,2.000000,0.953611,0.029885,4.007337
168.000000,2.000000,0.953333,0.029889,4.006778
169.000000,2.000000,0.953056,0.029893,4.006218
170.000000,2.000000,0.952778,0.029896,4.005659
171.000000,2.000000,0.952500,0.029900,4.005100
172.000000,2.000000,0.952222,0.029903,4.004542
173.000000,2.000000,0.951944,0.029906,4.003983
174.000000,2.000000,0.951667,0.029909,4.003424
175.000000,2.000000,0.951389,0.029912,4.002866
176.000000,2.000000,0.951111,0.029915,4.002307
177.000000,2.000000,0.950833,0.029918,4.001749
178.000000,2.000000,0.950556,0.029921,4.001191
179.000000,2.000000,0.950278,0.029923,4.000632
180.000000,2.000000,0.950000,0.029926,4.000074
181.000000,2.000000,0.949722,0.029928,3.999516
182.000000,2.000000,0.949444,0.029930,3.998958
183.000000,2.000000,0.949167,0.029933,3.998401
184.000000,2.000000,0.948889,0.029935,3.997843
185.000000,2.000000,0.948611,0.029937,3.997285
186.000000,2.000000,0.948333,0.029939,3.996728
187.000000,2.000000,0.948056,0.029941,3.996170
188.000000,2.000000,0.947778,0.029943,3.995613
189.000000,2.000000,0.947500,0.029945,3.995055
190.000000,2.000000,0.947222,0.029947,3.994498
191.000000,2.000000,0.946944,0.029948,3.993940
192.000000,2.000000,0.946667,0.029950,3.993383
193.000000,2.000000,0.946389,0.029952,3.992826
194.000000,2.000000,0.946111,0.029953,3.992269
195.000000,2.000000,0.945833,0.029955,3.991712
196.000000,2.000000,0.945556,0.029956,3.991155
197.000000,2.000000,0.945278,0.029958,3.990598
198.000000,2.000000,0.945000,0.029959,3.990041
199.000000,2.000000,0.944722,0.029961,3.989484
200.000000,2.000000,0.944444,0.029962,3.988927
201.000000,2.000000,0.944167,0.029963,3.988370
202.000000,2.000000,0.943889,0.029964,3.987813
203.000000,2.000000,0.943611,0.029965,3.987257
204.000000,2.000000,0.943333,0.029967,3.986700
205.000000,2.000000,0.943056,0.029968,3.986143
206.000000,2.000000,0.942778,0.029969,3.985587
207.000000,2.000000,0.942500,0.029970,3.985030
208.000000,2.000000,0.942222,0.029971,3.984474
209.000000,2.000000,0.941944,0.029972,3.983917
210.000000,2.000000,0.941667,0.029973,3.983361
211.000000,2.000000,0.941389,0.029974,3.982804
212.000000,2.000000,0.941111,0.029974,3.982248
213.000000,2.000000,0.940833,0.029975,3.981691
214.000000,2.000000,0.940556,0.029976,3.981135
215.000000,2.000000,0.940278,0.029977,3.980579
216.000000,2.000000,0.940000,0.029978,3.980022
217.000000,2.000000,0.939722,0.029978,3.979466
218.000000,2.000000,0.939444,0.029979,3.978910
219.000000,2.000000,0.939167,0.029980,3.978354
220.000000,2.000000,0.938889,0.029980,3.977797
221.000000,2.000000,0.938611,0.029981,3.977241
222.000000,2.000000,0.938333,0.029982,3.976685
223.000000,2.000000,0.938056,0.029982,3.976129
224.000000,2.000000,0.937778,0.029983,3.975573
225.000000,2.000000,0.937500,0.029983,3.975017
226.000000,2.000000,0.937222,0.029984,3.974460
227.000000,2.000000,0.936944,0.029984,3.973904
228.000000,2.000000,0.936667,0.029985,3.973348
229.000000,2.000000,0.936389,0.029985,3.972792
230.000000,2.000000,0.936111,0.029986,3.972236
231.000000,2.000000,0.935833,0.029986,3.971680
232.000000,2.000000,0.935556,0.029987,3.971124
233.000000,2.000000,0.935278,0.029987,3.970568
234.000000,2.000000,0.935000,0.029988,3.970012
235.000000,2.000000,0.934722,0.029988,3.969456
236.000000,2.000000,0.934444,0.029989,3.968900
237.000000,2.000000,0.934167,0.029989,3.968344
238.000000,2.000000,0.933889,0.029989,3.967789
239.000000,2.000000,0.933611,0.029990,3.967233
240.000000,2.000000,0.933333,0.029990,3.966677
241.000000,2.000000,0.933056,0.029990,3.966121
242.000000,2.000000,0.932778,0.029991,3.965565
243.000000,2.000000,0.932500,0.029991,3.965009
244.000000,2.000000,0.932222,0.029991,3.964453
245.000000,2.000000,0.931944,0.029991,3.963897
246.000000,2.000000,0.931667,0.029992,3.963342
247.000000,2.000000,0.931389,0.029992,3.962786
248.000000,2.000000,0.931111,0.029992,3.962230
249.000000,2.000000,0.930833,0.029993,3.961674
250.000000,2.000000,0.930556,0.029993,3.961118
251.000000,2.000000,0.930278,0.029993,3.960563
252.000000,2.000000,0.930000,0.029993,3.960007
253.000000,2.000000,0.929722,0.029993,3.959451
254.000000,2.000000,0.929444,0.029994,3.958895
255.000000,2.000000,0.929167,0.029994,3.958339
256.000000,2.000000,0.928889,0.029994,3.957784
257.000000,2.000000,0.928611,0.029994,3.957228
258.000000,2.000000,0.928333,0.029994,3.956672
259.000000,2.000000,0.928056,0.029995,3.956116
260.000000,2.000000,0.927778,0.029995,3.955561
261.000000,2.000000,0.927500,0.029995,3.955005
262.000000,2.000000,0.927222,0.029995,3.954449
263.000000,2.000000,0.926944,0.029995,3.953894
264.000000,2.000000,0.926667,0.029995,3.953338
265.000000,2.000000,0.926389,0.029996,3.952782
266.000000,2.000000,0.926111,0.029996,3.952226
267.000000,2.000000,0.925833,0.029996,3.951671
268.000000,2.000000,0.925556,0.029996,3.951115
269.000000,2.000000,0.925278,0.029996,3.950559
270.000000,2.000000,0.925000,0.029996,3.950004
271.000000,2.000000,0.924722,0.029996,3.949448
272.000000,2.000000,0.924444,0.029997,3.948892
273.000000,2.000000,0.924167,0.029997,3.948337
274.000000,2.000000,0.923889,0.029997,3.947781
275.000000,2.000000,0.923611,0.029997,3.947225
276.000000,2.000000,0.923333,0.029997,3.946670
277.000000,2.000000,0.923056,0.029997,3.946114
278.000000,2.000000,0.922778,0.029997,3.945558
279.000000,2.000000,0.922500,0.029997,3.945003
280.000000,2.000000,0.922222,0.029997,3.944447
281.000000,2.000000,0.921944,0.029997,3.943891
282.000000,2.000000,0.921667,0.029998,3.943336
283.000000,2.000000,0.921389,0.029998,3.942780
284.000000,2.000000,0.921111,0.029998,3.942225
285.000000,2.000000,0.920833,0.029998,3.941669
286.000000,2.000000,0.920556,0.029998,3.941113
287.000000,2.000000,0.920278,0.029998,3.940558
288.000000,2.000000,0.920000,0.029998,3.940002
289.000000,2.000000,0.919722,0.029998,3.939446
290.000000,2.000000,0.919444,0.029998,3.938891
291.000000,2.000000,0.919167,0.029998,3.938335
292.000000,2.000000,0.918889,0.029998,3.937780
293.000000,2.000000,0.918611,0.029998,3.937224
294.000000,2.000000,0.918333,0.029998,3.936668
295.000000,2.000000,0.918056,0.029998,3.936113
296.000000,2.000000,0.917778,0.029998,3.935557
